url,label,rationale,http_status,http_error,final_url,n_redirects,saas_interior,synthetic_patterns,recommendation,recommendation_reason
https://www.cnn.com/business,SOCIAL_CONSUMPTION,CNN business news feed,200,,https://www.cnn.com/business,0,False,,KEEP,http_200
https://www.washingtonpost.com/business/,SOCIAL_CONSUMPTION,WaPo business news feed,-1,timeout,,0,False,,REPLACE,http_error: timeout
https://www.theguardian.com/business,SOCIAL_CONSUMPTION,Guardian business news feed,200,,https://www.theguardian.com/us/business,1,False,,KEEP,http_200
https://app.slack.com/client/T01ABC/CXX1234,TASK_COMPLETION,Slack workspace — in-flow comms,200,,https://app.slack.com/client/T01ABC/CXX1234,0,True,workspace_id_T01ABC;channel_id_CXX,REPLACE,"synthetic_pattern: workspace_id_T01ABC,channel_id_CXX"
https://app.zoom.us/wc/join/12345,TASK_COMPLETION,Zoom meeting join — in-flow,200,,https://app.zoom.us/wc/12345/join?_x_zm_rtaid=vn6V9e4FRDyXXzhsi2qJuA.1777847396745.c704844b32a8b1a4e3d8512b1d475b49&_x_zm_rhtaid=290,1,True,placeholder_12345,REPLACE,synthetic_pattern: placeholder_12345
https://app.monday.com/boards/12345,TASK_COMPLETION,Monday.com board — task tooling,-1,"connection_error: HTTPSConnectionPool(host='app.monday.com', port=443): Max retries exceeded with url: /boards/12345 (Caused by NameResolutionError(""HTTPSConnection(host='app.monday.com', port=443): Failed to resolve 'app.monday.com' ([Errno 8] nodename nor servname provided, or not known)""))[:120]",,0,True,placeholder_12345,REPLACE,synthetic_pattern: placeholder_12345
https://3.basecamp.com/12345/projects/67890,TASK_COMPLETION,Basecamp project — in-flow productivity,404,,https://3.basecamp.com/12345/projects/67890,0,True,placeholder_12345;placeholder_67890,REPLACE,"synthetic_pattern: placeholder_12345,placeholder_67890"
https://www.dropbox.com/home,TASK_COMPLETION,Dropbox home — file management,200,,https://www.dropbox.com/login?cont=%2Fhome,1,False,,KEEP,http_200
https://app.salesforce.com/lightning/o/Lead/list,TASK_COMPLETION,Salesforce Lead list — workflow,-1,"connection_error: HTTPSConnectionPool(host='app.salesforce.com', port=443): Max retries exceeded with url: /lightning/o/Lead/list (Caused by NameResolutionError(""HTTPSConnection(host='app.salesforce.com', port=443): Failed to resolve 'app.salesforce.com' ([Errno 8] nodename nor servname provided, or not known)""))[:120]",,0,True,,REPLACE,saas_interior_subdomain (not in bid stream)
https://app.figma.com/files/recent,TASK_COMPLETION,Figma recent files — design tooling,-1,"connection_error: HTTPSConnectionPool(host='app.figma.com', port=443): Max retries exceeded with url: /files/recent (Caused by NameResolutionError(""HTTPSConnection(host='app.figma.com', port=443): Failed to resolve 'app.figma.com' ([Errno 8] nodename nor servname provided, or not known)""))[:120]",,0,True,,REPLACE,saas_interior_subdomain (not in bid stream)
https://app.airtable.com/workspace,TASK_COMPLETION,Airtable workspace — productivity,404,,https://app.airtable.com/workspace,0,True,,REPLACE,saas_interior_subdomain (not in bid stream)
https://qbo.intuit.com/app/homepage,TASK_COMPLETION,QuickBooks home — accounting tool,200,,https://accounts.intuit.com/app/sign-in?app_group=QBO&asset_alias=Intuit.accounting.core.qbowebapp&app_environment=prod&iux_redirect_reason=UNAUTHENTICATED,1,True,,REPLACE,saas_interior_subdomain (not in bid stream)
https://app.hubspot.com/contacts/12345,TASK_COMPLETION,HubSpot contacts — CRM workflow,200,,https://app.hubspot.com/contacts/12345,0,True,placeholder_12345,REPLACE,synthetic_pattern: placeholder_12345
